wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
6300,2018,08,201808,4.35,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,08,201808,6.41,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,08,201808,5.11,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,08,201808,6.61,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,08,201808,3.37,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,08,201808,4.94,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,08,201808,3.19,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,08,201808,3.7,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,08,201808,3.01,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,08,201808,6.95,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,08,201808,4.63,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,08,201808,6.45,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,08,201808,3,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1000,2018,02,201802,4.98,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,02,201802,5.48,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,02,201802,5.57,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,02,201802,5.38,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,02,201802,5.36,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,02,201802,3.52,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,02,201802,4.02,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,02,201802,2.41,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,02,201802,3.95,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,02,201802,3.32,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,02,201802,7.02,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
