wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,,,,
9100,2020,00,202000,8086000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8086,11013
9400,2020,00,202000,6954000,11013000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,6954,11013
1000,2019,00,201900,11299000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11299,11299
1100,2019,00,201900,9603000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9603,11299
1200,2019,00,201900,10649000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10649,11299
1300,2019,00,201900,10925000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10925,11299
1400,2019,00,201900,11255000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11255,11299
1500,2019,00,201900,10592000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10592,11299
1600,2019,00,201900,10937000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10937,11299
1700,2019,00,201900,10409000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10409,11299
1800,2019,00,201900,10114000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10114,11299
1900,2019,00,201900,12959000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12959,11299
2100,2019,00,201900,14466000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,14466,11299
3100,2019,00,201900,18527000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,18527,11299
3200,2019,00,201900,11152000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11152,11299
3300,2019,00,201900,11102000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11102,11299
