wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
3500,2022,00,202200,66360000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
3600,2022,00,202200,60990000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5100,2022,00,202200,55540000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5200,2022,00,202200,28672540,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
5300,2022,00,202200,21720000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6100,2022,00,202200,46161295.56,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6200,2022,00,202200,72900000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6300,2022,00,202200,60079325,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6400,2022,00,202200,238700000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
6500,2022,00,202200,190610000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7100,2022,00,202200,59043000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7200,2022,00,202200,105550000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7300,2022,00,202200,65590000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7400,2022,00,202200,58760000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7500,2022,00,202200,39886776.66,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
7600,2022,00,202200,37070000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8100,2022,00,202200,29372902.52,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
8200,2022,00,202200,53700000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9100,2022,00,202200,77149680,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
9400,2022,00,202200,59410000,71030850,,,,,2023-02-06,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb
1000,2022,00,202200,42463890,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1100,2022,00,202200,26066597,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1200,2022,00,202200,37943828,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1300,2022,00,202200,32377440,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1400,2022,00,202200,80055106,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1500,2022,00,202200,44538496,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1600,2022,00,202200,39677862,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1700,2022,00,202200,24231248,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
