wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
1100,2019,00,201900,9603,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1200,2019,00,201900,68.95,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1200,2019,00,201900,9.45,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1200,2019,00,201900,13.15,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1200,2019,00,201900,10649,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1300,2019,00,201900,69.31,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1300,2019,00,201900,8.92,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1300,2019,00,201900,14.01,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1300,2019,00,201900,10925,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1400,2019,00,201900,71.48,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1400,2019,00,201900,9.03,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1400,2019,00,201900,13.14,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1400,2019,00,201900,11255,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1500,2019,00,201900,71.06,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1500,2019,00,201900,8.45,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1500,2019,00,201900,12.93,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1500,2019,00,201900,10592,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1600,2019,00,201900,69.65,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1600,2019,00,201900,8.18,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1600,2019,00,201900,12.39,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1600,2019,00,201900,10937,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1700,2019,00,201900,69.21,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
