wilayah,tahun,periode,id_periode,nilai_struktur,nasional,nilai_pertumbuhan,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1300,2020,01,202001,15.81,,6.52,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1300,2020,01,202001,11.87,,-1.14,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1300,2020,01,202001,1.43,,5.71,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1300,2020,01,202001,6.27,,10.83,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1300,2020,01,202001,2.97,,3.81,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1300,2020,01,202001,2.07,,6.33,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1300,2020,01,202001,0.45,,1.75,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1300,2020,01,202001,6.33,,5.77,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1300,2020,01,202001,4.54,,6.64,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1300,2020,01,202001,1.52,,7.97,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1300,2020,01,202001,2.07,,4.38,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1300,2020,01,202001,0.00,,0.00,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1400,2020,01,202001,25.79,,7.81,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1400,2020,01,202001,21.16,,-5.22,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1400,2020,01,202001,27.46,,5.66,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1400,2020,01,202001,0.08,,25.50,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1400,2020,01,202001,0.01,,0.94,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1400,2020,01,202001,9.02,,2.22,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1400,2020,01,202001,9.94,,-7.11,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1400,2020,01,202001,0.86,,-4.24,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1400,2020,01,202001,0.50,,-6.22,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1400,2020,01,202001,0.80,,17.26,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1400,2020,01,202001,0.93,,3.03,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1400,2020,01,202001,0.84,,-2.63,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1400,2020,01,202001,0.01,,-9.39,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1400,2020,01,202001,1.39,,-6.19,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1400,2020,01,202001,0.49,,-6.57,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1400,2020,01,202001,0.23,,18.03,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1400,2020,01,202001,0.49,,-7.73,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1400,2020,01,202001,0.00,,0.00,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1500,2020,01,202001,29.43,,0.91,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1500,2020,01,202001,16.25,,0.45,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1500,2020,01,202001,10.03,,1.00,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1500,2020,01,202001,0.07,,7.75,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1500,2020,01,202001,0.14,,3.72,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1500,2020,01,202001,7.07,,1.69,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1500,2020,01,202001,12.70,,4.28,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1500,2020,01,202001,2.87,,-7.60,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1500,2020,01,202001,1.14,,-3.96,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1500,2020,01,202001,4.36,,15.16,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1500,2020,01,202001,2.48,,6.89,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1500,2020,01,202001,1.62,,0.89,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1500,2020,01,202001,1.20,,-2.00,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1500,2020,01,202001,4.83,,1.08,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1500,2020,01,202001,3.60,,4.78,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1500,2020,01,202001,1.24,,5.15,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1500,2020,01,202001,0.98,,-1.85,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1500,2020,01,202001,0.00,,0.00,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1600,2020,01,202001,14.99,,4.21,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1600,2020,01,202001,18.89,,3.15,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1600,2020,01,202001,19.97,,6.21,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1600,2020,01,202001,0.13,,12.64,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1600,2020,01,202001,0.12,,4.68,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
